article_id,title,year,issue,volume,pdf_url
2024_5_12,邬辉 熊文婷 汪一纯 赵玉芹 赵红平 郭世成 页码:359,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405012.pdf
2024_6_1,国家卫生健康委员会 国 家中医药管理局 页码:361,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406001.pdf
2024_6_2,何卓林  陈书恺  黄逸伦  金心悦  郭红刚  黄卫新  朱莲 页码:365,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406002.pdf
2024_6_3,陈晓蕾  张海芳  梅建华  陶桃 页码:372,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406003.pdf
2024_6_4,惠瑞雪  陈文俊   陈美容  郝家琪  杜晓宇  胡双  陈嘉 页码:379,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406004.pdf
2024_6_5,胡昱  龚杰 页码:386,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406005.pdf
2024_6_6,赵丽  王红林  邓峰  杨彪 页码:394,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406006.pdf
2024_6_7,周潇潇  张祥 页码:402,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406007.pdf
2024_6_8,李江峰  陈帅  赵炎煜  高阳阳 页码:407,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406008.pdf
2024_6_9,杨隆平  陈景良  李凌华 页码:412,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406009.pdf
2024_6_10,张昊悦  汤正好 页码:418,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406010.pdf
2024_6_11,马翠 马娟 张爱芸 聂嘉忻 王翊菡 王煜 页码:423,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406011.pdf
2024_6_12,熊雨凡  张新驰  陈丽 页码:428,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406012.pdf
2024_6_13,沈隽卿  刘玥  张旭  牛娜  张月娟  许学斌 页码:431,2024,6,51,http://gl.hmc.edu.cn/upload/files/202406013.pdf
2023_1_1,中华人民共和国国家卫生健康委员会 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301001.pdf
2023_1_2,姜敏杰  孟庆华 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301002.pdf
