article_id,title,author,issue_url,pdf_url
10.1097/BS9.0000000000000212,Versatility of megakaryocytes in homeostasis and disease,"Daosong Wang,Jiayi Xie,Meng Zhao",https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000212?download=true
10.1097/BS9.0000000000000199,"New insights into the endothelial origin of hematopoietic system inspired by ""TIF""
                     approaches","Siyuan Hou,Xia Guo,Junjie Du,Xiaochen Ding,Xiaowei Ning,Haizhen Wang,Haifeng Chen,Bing Liu,Yu Lan",https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000199?download=true
10.1097/BS9.0000000000000204,Dual role ofBCL11Bin T-cell malignancies,"Grzegorz K. Przybylski,Julia Przybylska,Yangqiu Li",https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000204?download=true
10.1097/BS9.0000000000000198,Erythroferrone in focus: emerging perspectives in iron metabolism and hematopathologies,Sadia BabarandMuhammad Saboor,https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000198?download=true
10.1097/BS9.0000000000000205,Mitochondrial genetic variations in leukemia: a comprehensive overview,"Ao Zhang,Wenbing Liu,Shaowei Qiu",https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000205?download=true
10.1097/BS9.0000000000000207,"Pre-transplantation levels of lysine (K)-specific methyltransferase 2A (KMT2A) partial tandem duplications can predict relapse of acute myeloid leukemia patients
                     following haploidentical donor hematopoietic stem cell transplantation","Dao-Xing Deng,Xiao-Hang Ma,Ze-Hua Wu,Xiao-Hui Zhang,Lan-Ping Xu,Yu Wang,Chen-Hua Yan,Huan Chen,Yu-Hong Chen,Wei Han,Feng-Rong Wang,Jing-Zhi Wang,Xiao-Jun Huang,Xiao-Su Zhao,Xiao-Dong Mo",https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000207?download=true
10.1097/BS9.0000000000000202,Adult megakaryopoiesis: when taking a short-cut results in a different final destination,"Wenxu Zhu,Gavin Tjin,Louise E. Purton",https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000202?download=true
10.1097/BS9.0000000000000201,Next-generation macrophages: repolarizing CAR-macrophages against cancer,Sima EbrahimabadiandDan S. Kaufman,https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000201?download=true
10.1097/BS9.0000000000000210,"MicroRNAs: discovery, breakthrough, and innovation",Jia YuandFang Wang,https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000210?download=true
10.1097/BS9.0000000000000203,Targeting macrophages to reprogram the tumor immune microenvironment,"Zhidong Xie,Jing Liao,Jun Chen",https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000203?download=true
10.1097/BS9.0000000000000208,"Dynamic frailty-tailored therapy (DynaFiT): A proof-of-concept study in elderly patients
                     with newly diagnosed multiple myeloma",Yun DaiandFengyan Jin,https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000208?download=true
10.1097/BS9.0000000000000197,Charting epimutation dynamics in human hematopoietic differentiation,"Xiaohuan Qin,Jiayi Lu,Peng Wu,Chunyong Zhang,Lei Shi,Ping Zhu",https://mednexus.org/toc/bls/06/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000197?download=true
10.1097/BS9.0000000000000192,Targeting HMGCS1 restores chemotherapy sensitivity in acute myeloid leukemia,"Cheng Zhou,Jue Li,Xiaofan Sun,Liang Zhao,Huien Zhan,Hui Liang,Peng Fang,Tuo Zhang,Qiongzhi He,Juan Du,Hui Zeng",https://mednexus.org/toc/bls/06/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000192?download=true
10.1097/BS9.0000000000000194,"High percentage of bone marrow CD8+tissue-resident-like memory T cells predicts inferior survival in patients with acute
                     myeloid leukemia","Letong Cai,Wenpu Lai,Danlin Yao,Yinfeng Gu,Chaofeng Liang,Lian Liu,Jing Lai,Zhi Yu,Xianfeng Zha,Xibao Yu,Xiuli Wu,Shaohua Chen,Oscar Junhong Luo,Yangqiu Li,Chunyan Wang,Pengfei Qin,Xin Huang,Ling Xu",https://mednexus.org/toc/bls/06/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000194?download=true
10.1097/BS9.0000000000000196,"Ivosidenib in Chinese patients with relapsed or refractory isocitrate dehydrogenase
                     1 mutated acute myeloid leukemia: a registry study","Mingyuan Sun,Qingsong Yin,Yang Liang,Chunkang Chang,Jing Zheng,Jian Li,Chunyan Ji,Huiying Qiu,Junmin Li,Yuping Gong,Sheng Luo,Yan Zhang,Rumei Chen,Zhenwei Shen,Zenglian Yue,Siyuan Wang,Qingmei Shi,Jason Yang,Jie Jin,Jianxiang Wang",https://mednexus.org/toc/bls/06/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000196?download=true
10.1097/BS9.0000000000000193,"Subcutaneous daratumumab in Chinese patients with relapsed or refractory multiple
                     myeloma: an open-label, multicenter, phase 1 study (MMY1010)","Gang An,Zheng Ge,Hongmei Jing,Jing Liu,Guoping Yang,Ru Feng,Zhongyuan Xu,Ming Qi,Jianping Wang,Juanjuan Song,Wei Zhou,Binbin Sun,Dian Zhu,Xi Chen,Canchan Cui,Lugui Qiu",https://mednexus.org/toc/bls/06/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000193?download=true
10.1097/BS9.0000000000000190,"Plerixafor-based mobilization and mononuclear cell counts in graft increased the risk
                     of engraftment syndrome after autologous hematopoietic stem cell transplantation","Le-Qing Cao,Qi Wen,Bo-Ning Liu,Zhen-Yu Zhao,Xiao-Hui Zhang,Lan-Ping Xu,Huan Chen,Yu Wang,Lu Yu,Feng-Rong Wang,Xiao-Jun Huang,Xiao-Dong Mo",https://mednexus.org/toc/bls/06/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000190?download=true
10.1097/BS9.0000000000000195,China’s top 10 achievements in hematology in 2023,Shuang LiuandBiao Chen,https://mednexus.org/toc/bls/06/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000195?download=true
10.1097/BS9.0000000000000187,Early megakaryocyte lineage-committed progenitors in adult mouse bone marrow,"Zixian Liu,Jinhong Wang,Yao Ma,Miner Xie,Peng Wu,Sen Zhang,Xiaofang Wang,Fang Dong,Hui Cheng,Ping Zhu,Mingzhe Han,Hideo Ema",https://mednexus.org/toc/bls/06/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000187?download=true
10.1097/BS9.0000000000000189,"Serum albumin is associated with the inherent property of acute myeloid leukemia and
                     correlates with patient outcomes","Jiayuan Chen,Yan Hui,Yujia Zhai,Miao Yang,Xue Zhang,Yingchang Mi,Jianxiang Wang,Hui Wei",https://mednexus.org/toc/bls/06/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000189?download=true
