article_id,title,authors,year,issue,volumn_page,pdf_url,doi
11223,114初治涂阳肺结核患者血清结核抗体IgG应用价值的再探讨,"钟红剑, 刘腊香, 朱飞, 陈文胜, 文善适, 赵安贵",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11223,
11224,白介素12受体β1缺陷病研究现况,梁煊,未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11224,
11225,牙龈结核1例,黄晴,未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11225,
11279,迎接结核病控制的创新时代,屠德华,未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11279,
11266,我国二线抗结核药物使用现状调查研究,"胡远莲, 何广学, 刘志敏, 郑建礼, 邢超",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11266,
11280,陕西省世界银行贷款/英国赠款结核病控制项目6年效果分析,"鲜小萍, 郭刘家, 张天华, 陈广华, 刘卫平",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11280,
11281,2002—2008年白银市结核病防治效果分析,"张学太, 陶瑞琴, 蒯蓓芳",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11281,
11267,湖北省世界银行贷款/英国赠款结核病控制项目实施效果分析（2002年1月—2009年3月）,"侯双翼, 叶建君, 詹发先, 熊昌富, 杨成凤, 王小靖, 肖爱清, 赵丁源, 李国明, 周丽平, 李爱国, 罗军民, 刘勋, 王文",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11267,
11274,住院肺结核患者心理健康及社会支持情况研究,"秦超, 张炜平, 吴琦",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11274,
11268,112例结核性脓胸的外科治疗分析,"龚昌帆, 白连启, 闫东杰, 窦学军",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11268,
11275,高等院校结核病防治措施的探索,刘庆福,未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11275,
11269,深圳市住院病人抗结核相关抗菌药物应用调查,"许丽, 杨应周, 吴清芳, 管红云, 张玉华, 李明珍",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11269,
11276,肺结核患者肿瘤坏死因子α基因多态性的研究,"杨慧, 梁肇海, 冯铁建, 王峰",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11276,
11265,PCR法鉴定结核分枝杆菌复合群亚种的研究,"汪小黎, 崔振玲, 王洁, 陆俊梅, 胡忠义",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11265,
11277,四联抗结核固定剂量复合剂的临床疗效研究,"钟球, 高翠南, 方兰君, 陈瑜晖, 李建伟, 莫卓鼎",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11277,
11270,纤维支气管镜检查对无痰或痰菌阴性不典型肺结核的诊断价值,"常占平, 彭勋, 王洪芬, 彭卫平, 曹丽华",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11270,
11278,80例老年肺结核继发肺部真菌感染临床相关因素分析,"李进升, 余荣深, 王福生, 陈宇",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11278,
11271,肾结核患者99-mTCDTPA肾动态显像特征分析,"张婷, 姚昊, 王志忠, 王钦媛, 苏家贵, 李雅, 何宝明, 叶一秀",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11271,
11272,复治肺结核耐药性危险因素分析,"冯晋兰, 陈文胜, 高如珍, 包嘉辉, 钟鸿剑",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11272,
11273,双肺异影，双侧肺门淋巴结增大1例影像学表现,"史景云, 肖和平, 陈岗",未知,1149,https://www.zgflzz.cn/CN//volumn/volumn_1149.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11273,
11459,耐药结核病化学治疗指南(2009),"肖和平,",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11459,
11460,广东省结核病耐药性基线调查病例纳入进展情况解析,"钟球, 尹建军, 钱明, 周琳, 陈亮, 李建伟, 蒋莉, 陈瑜晖",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11460,
11461,155例涂阳肺结核实施家庭督导服药的效果分析,"郭婉如,",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11461,
11462,深圳市结核病一线抗结核药的耐药监测结果分析,"许丽, 杨应周, 吴清芳, 管红云, 李明珍",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11462,
11471,2005—2007年密云县肺结核发现及治疗转归情况分析,"张合英,",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11471,
11463,结核分枝杆菌CFP10-ESAT6-CFP21融合蛋白克隆表达及全血IFN-γ的检测,"周舟, 丁元生, 刘忠华, 毛翎, 桂徐蔚, 胡忠义",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11463,
11464,胰岛素泵治疗糖尿病合并肺结核近期疗效观察,"金周德, 于关成, 张晓霞, 房玉萍, 孙集思, 孟亦虹",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11464,
11465,可弯曲电子内科胸腔镜在结核性胸膜炎诊断中的应用,"谢强, 魏淑芳, 陈群, 李育宏, 石琴, 林江平, 王成辉",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11465,
11466,20例成人耐药结核性脑膜炎临床观察,"韩利军, 闫世明, 赵云红, 庞玉林, 孙力",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11466,
11467,三种注射用抗结核药物对结核分枝杆菌的耐药情况分析,"曹广云, 肖和平, 闫丽萍, 景玲杰, 杨华",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11467,
11472,女性腹盆腔结核性包块89例误诊分析,"陈燕琴,",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11472,
11468,甘肃省边远贫困地区乡志愿督导员管理涂阳肺结核效果分析,"张岚, 高巧芬, 甘培尚, 杨枢敏, 王雯, 何钰珏",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11468,
11469,2007—2009年沈阳市高考体检学生肺结核患病情况分析,"梁煊, 石莲, 冯晓越, 刘宁, 陈巍, 冀澍雨, 张萍, 王晓虹, 于秀丽,",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11469,
11470,北京市海淀区综合医院肺结核报告转诊检查结果,"杨慧银, 沈秀平, 刘玉清, 闫捷, 杜丽华, 税海珊,",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11470,
11473,楚雄市2002—2008年结核病控制工作简状,"何国兴,  周怡,  杨小刚,  周云平,",未知,1150,https://www.zgflzz.cn/CN//volumn/volumn_1150.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11473,
11384,北京市昌平区流动人口肺结核病例回原籍原因及追踪结果分析,"高铁杰, 刘丽娜, 韩跃飞",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11384,
11385,抗结核组合药致亚急性肝衰竭死亡1例,陈维华,未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11385,
10952,通辽市涂阴肺结核病的流行与病例发现登记状况分析,"赵德新, 彭国林, 张慧杰",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10952,
