article_id,title,issue_url,pdf_url
20250909,PDF 2.72 M (168),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250909?st=article_issue
20250910,PDF 1.14 M (149),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250910?st=article_issue
20250911,PDF 1.10 M (163),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250911?st=article_issue
20250912,PDF 1.06 M (164),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250912?st=article_issue
20250913,PDF 1.04 M (156),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250913?st=article_issue
20250914,PDF 1.08 M (148),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250914?st=article_issue
20250915,PDF 1.04 M (166),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250915?st=article_issue
20250916,PDF 1.03 M (168),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250916?st=article_issue
20250917,PDF 1.07 M (152),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250917?st=article_issue
20250918,PDF 1.15 M (159),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250918?st=article_issue
20250919,PDF 1.07 M (155),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250919?st=article_issue
20250920,PDF 1.10 M (151),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250920?st=article_issue
20250921,PDF 1.09 M (151),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250921?st=article_issue
20250922,PDF 2.21 M (162),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250922?st=article_issue
2025090000,PDF 517.67 K (141),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/2025090000?st=article_issue
hjjydxxb-46-8-963,PDF 1.57 M (447),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-963?st=article_issue
hjjydxxb-46-8-970,PDF 1.06 M (361),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-970?st=article_issue
hjjydxxb-46-8-977,PDF 1.07 M (413),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-977?st=article_issue
hjjydxxb-46-8-982,PDF 1.09 M (350),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-982?st=article_issue
hjjydxxb-46-8-989,PDF 1.37 M (404),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-989?st=article_issue
hjjydxxb-46-8-1000,PDF 15.25 M (332),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1000?st=article_issue
hjjydxxb-46-8-1009,PDF 3.27 M (363),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1009?st=article_issue
hjjydxxb-46-8-1018,PDF 3.76 M (351),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1018?st=article_issue
hjjydxxb-46-8-1027,PDF 1.35 M (328),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1027?st=article_issue
hjjydxxb-46-8-1035,PDF 1.61 M (363),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1035?st=article_issue
hjjydxxb-46-8-1042,PDF 1.43 M (349),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1042?st=article_issue
hjjydxxb-46-8-1049,PDF 1.48 M (345),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1049?st=article_issue
hjjydxxb-46-8-1055,PDF 1.12 M (304),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1055?st=article_issue
hjjydxxb-46-8-1062,PDF 1.05 M (342),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1062?st=article_issue
hjjydxxb-46-8-1067,PDF 1.31 M (329),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1067?st=article_issue
hjjydxxb-46-8-1074,PDF 1.31 M (365),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1074?st=article_issue
hjjydxxb-46-8-1081,PDF 1.03 M (324),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1081?st=article_issue
hjjydxxb-46-8-1084,PDF 1.32 M (313),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1084?st=article_issue
hjjydxxb-46-8-1090,PDF 1.67 M (343),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-8-1090?st=article_issue
2025080000,PDF 535.37 K (291),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_8,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/2025080000?st=article_issue
hjjydxxb-46-7-831,PDF 1.28 M (336),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-831?st=article_issue
hjjydxxb-46-7-838,PDF 1.45 M (299),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-838?st=article_issue
hjjydxxb-46-7-847,PDF 1.89 M (327),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-847?st=article_issue
hjjydxxb-46-7-856,PDF 1.06 M (359),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-856?st=article_issue
hjjydxxb-46-7-863,PDF 1.47 M (325),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-863?st=article_issue
hjjydxxb-46-7-869,PDF 1.96 M (302),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-869?st=article_issue
hjjydxxb-46-7-874,PDF 1.39 M (298),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-874?st=article_issue
hjjydxxb-46-7-881,PDF 1.78 M (365),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-881?st=article_issue
